epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7085,1.74573,1.91665,1.10101,0.51962,0.2652,0.247,0.13082,1.59122,1.16621,1.0317,0.000277033,0.000277033,0.000277033
2,69.1862,1.65113,1.28847,1.06484,0.52281,0.2752,0.26338,0.13484,1.56324,1.11723,1.02997,0.000444869,0.000444869,0.000444869
3,100.786,1.62191,1.19633,1.05475,0.39778,0.30246,0.28691,0.14791,1.50972,1.06782,1.01995,0.000502749,0.000502749,0.000502749
4,131.945,1.57889,1.12648,1.0377,0.58248,0.31194,0.33153,0.17666,1.48433,1.00039,0.99767,0.000338198,0.000338198,0.000338198
5,162.952,1.54677,1.07203,1.02232,0.4894,0.33682,0.33704,0.17733,1.46232,0.95842,0.9899,0.000173264,0.000173264,0.000173264
